#{"t_start": 1764078098.6933086, "env_id": "ALE/Breakout-v5"}
r,l,t
24.0,284,5.4173013.3.0,257,9.9514991.2.0,212,12.5263174.0,268,16.504793
0.0,134,19.056107
2.0,203,21.109489
025.0,320,25.70144.000.0,125,27.98361.11.0,150,30.388410.25.0,297,35.168824
8.0,467,40.284394
27.0,374,47.04395
37.0,258,52.17256
2.0,198,55.610875
2.0,188,60.23306
4.0,264,65.061996
1.0,176,67.641084
7.0,256,72.907974
3.0,236,77.486495
46.0,352,82.295926
2.0,180,85.284567
3.0,219,90.445551
13.0,221,92.575931
7.0,248,97.707525
3.0,236,102.259346
3.0,240,107.116512
7.0,260,112.489234
6.0,346,118.964653
2.0,182,121.69263
7.0,269,126.391896
4.0,267,130.894406
2.0,183,135.138495
7.0,251,139.539568
1.0,159,142.046256
1.0,174,144.839644
7.0,396,151.653517
2.0,185,156.283598
7.0,247,161.415112
2.0,184,164.466752
7.0,391,171.330739
2.0,186,175.480541
2.0,190,177.898315
7.0,251,182.411633
35.0,314,187.461689
7.0,247,191.882464
52.0,196,196.629141
32.0,208,200.865049117.0,246,203.84907611.0,413,210.493372
17.0,379,215.292383
37.0,250,219.923479
7.0,258,224.464283
2.0,183,227.320004
2.0,191,231.568678
3.0,222,235.646707
7.0,248,240.036093
4.0,244,242.995041
3.0,215,247.261305
77.0,250,251.900752
3.0,214,256.130133
3.0,219,259.018057
3.0,228,263.775533
7.0,250,268.314825
1.0,158,270.7535181111.0,276,277.5938873.7.0,253,281.8973723.7.0,279,286.791219
3.0,226,289.792898
7.0,244,294.420759
2.0,183,298.60223.3.0,225,302.789324.02.0,181,305.226247.07.0,247,310.077942.03.0,215,315.083585.01.0,155,317.6101
7.0,260,322.374235
13.0,233,325.221539
72.0,187,329.65641
8.0,312,334.800393
11.0,277,340.022397
37.0,284,346.16427
7.0,262,350.703604
7.0,277,355.782737
2.0,182,358.604814
7.0,272,363.42678
3.0,220,368.056115
3.0,227,372.770884
2.0,184,375.4691
7.0,250,380.787309
3.0,236,385.236638
3.0,217,389.509459
7.0,271,394.227086
3.0,223,398.658386
1.0,164,401.107216
2.0,202,405.668738
7.0,266,410.548635
3.0,224,413.504874
1.0,153,417.606425
4.0,286,422.292294
7.0,253,426.972704
2.0,186,429.629579
7.0,246,434.208522
3.0,245,438.486867
7.0,257,443.042165
7.0,245,447.279414
7.0,262,451.795882
2.0,190,454.407149
2.0,189,458.474657
3.0,226,462.867439
7.0,251,467.507226
3.0,214,470.336571
3.0,224,475.241069
3.0,219,479.643913
11.0,283,484.36062
7.0,264,488.990972
2.0,183,493.319154
3.0,238,496.506746
2.0,203,500.446657
2.0,195,504.61827
2.0,193,507.13491
7.0,270,512.00496
1.0,161,514.881727
3.0,221,519.010669
3.0,221,523.595516
3.0,231,528.119211
3.0,233,531.016059
2.0,192,535.359027
6.0,360,542.747235
7.0,272,547.400408
6.0,355,554.788867
3.0,219,557.560117
2.0,189,561.634857
7.0,258,565.997063
11.0,290,570.489361
11.0,279,575.256947
3.0,211,580.067994
3.0,220,584.96842
7.0,261,589.501097
1.0,157,591.88742
3.0,222,596.53143
7.0,259,601.58482
11.0,270,606.123654
3.0,216,610.504032
3.0,228,613.441536
7.0,243,617.990861
3.0,218,622.19588
3.0,227,626.622425
7.0,255,631.231872
3.0,215,633.9196
11.0,286,640.499411
3.0,223,643.438499
3.0,215,648.016978
7.0,283,653.049368
7.0,263,658.18671
2.0,191,662.441038
2.0,191,665.240576
7.0,264,670.609262
2.0,183,675.375123
2.0,192,678.007457
11.0,272,683.005532
2.0,186,687.018377
2.0,190,689.44505
1.0,163,693.540355
3.0,231,696.456115
3.0,226,701.038399
7.0,260,705.530743
3.0,210,710.612239
7.0,254,715.184935
2.0,206,718.197428
3.0,213,722.46988
4.0,265,727.289383
2.0,190,731.871345
3.0,223,734.920996
3.0,214,739.613727
2.0,180,742.391969
2.0,185,746.563448
3.011.0,276,751.72467.0,250,755.523359
4.0,4.0,272,760.36113.0,3.0,230,765.23663.0,238,768.537419
3.04.0,286,773.43943.0,11.0,289,780.3347.0,3.0,224,782.93633.0,3.0,237,787.39724.0,2.0,182,791.69487.0,8.0,292,797.34647.0,7.0,245,801.76413.0,11.0,281,806.9330.0,17.0,252,811.58626
11.0,390,818.523047
5.0,310,823.635201
11.0,284,830.323824
8.0,284,835.13626
5.0,311,840.129068
6.0,358,847.002105
6.0,360,854.124717
12.0,304,859.015644
10.0,493,868.474806
6.0,343,874.952044
11.0,432,881.991613
7.0,418,890.493326
10.0,532,899.65059
7.0,260,904.231352
10.0,374,910.865898
3.0,213,913.499765
5.0,300,920.371388
12.0,325,925.898351
7.0,247,930.376493
13.0,481,939.133763
8.0,282,943.923601
3.0,228,948.313131
6.0,336,953.54755
5.0,337,960.008029
9.0,522,969.349909
7.0,366,976.445591
12.0,442,984.057606
2.0,197,988.13372
7.0,419,995.032504
5.0,296,1001.352514
8.0,414,1008.714093
7.0,244,1013.545885
10.0,372,1020.537821
4.0,263,1025.117793
9.0,350,1030.364996
7.0,362,1036.688231
6.0,343,1043.011747
3.0,219,1047.71809
511.0,418,1055.018149
7.0,361,1061.48344
11.0,524,1070.579484
8.0,420,1077.364944
9.0,322,1083.687084
8.0,413,1090.702881
4.0,266,1095.322417
8.0,419,1102.255023
11.0,418,1109.471854
4.0,261,1115.611979
3.0,210,1118.320397
10.0,375,1125.741762
3.0,212,1129.991995
7.0,265,1134.422993
5.0,304,1139.304178
5.0,304,1145.528276
5.0,344,1150.714354
11.0,392,1157.427346
